id,inner_length_mm,middle_length_mm,outer_length_mm,middle_curved_mm,outer_curved_mm,middle_curvature_per_m,outer_curvature_per_m,screen_score
t000,350.0,170.0,80.0,90.0,65.0,19.12,14.04,0.0
t001,348.16,181.98,92.14,95.02,65.91,22.03,13.98,0.5258385647545634
t002,349.1179,173.5238,83.6941,89.9052,65.0144,19.9058,13.9146,0.14928656265530205
t003,348.2358,177.0475,87.3883,89.8103,65.0288,20.6915,13.7892,0.3342314369632554
t004,347.3536,180.5713,91.0824,89.7155,65.0433,21.4773,13.6638,0.5028390936604161
t005,346.4715,184.0951,94.7765,89.6206,65.0577,22.263,13.5384,0.4213614384431158
t006,349.54,172.995,83.035,91.255,65.2275,19.8475,14.025,0.0820141350121798
t007,349.08,175.99,86.07,92.51,65.455,20.575,14.01,0.19370654333885395
t008,348.62,178.985,89.105,93.765,65.6825,21.3025,13.995,0.4438670856996144
t009,349.9472,172.3373,82.9198,88.0282,66.9725,19.4345,13.8662,0.10233088493586606
t010,349.8945,174.6745,85.8396,86.0565,68.9449,19.749,13.6924,0.2222611135181909
t011,349.8417,177.0118,88.7594,84.0847,70.9174,20.0635,13.5185,0.3019756605061349
t012,349.789,179.3491,91.6792,82.1129,72.8898,20.378,13.3447,0.4549263862308234
t013,350.0,172.5,82.5,90.0,65.0,20.12,14.165,0.04716290582298688
t014,350.0,175.0,85.0,90.0,65.0,21.12,14.29,0.17238386928485128
t015,350.0,177.5,87.5,90.0,65.0,22.12,14.415,0.2937499155986396
t016,350.0,180.0,90.0,90.0,65.0,23.12,14.54,0.3322125704318264
t017,350.0,172.5,82.5,90.0,65.0,19.62,13.915,0.0908593462139412
t018,350.0,175.0,85.0,90.0,65.0,20.12,13.79,0.14744633749834168
t019,350.0,177.5,87.5,90.0,65.0,20.62,13.665,0.30457476946311235
t020,350.0,180.0,90.0,90.0,65.0,21.12,13.54,0.3932927072424389
t021,349.4714,172.4837,82.4958,89.9305,66.8402,20.2168,14.2189,0.0877136759939221
t022,348.9428,174.9674,84.9916,89.8609,68.6803,21.3136,14.3978,0.1876042572765273
t023,348.4142,177.4512,87.4875,89.7914,70.5205,22.4104,14.5767,0.305860826728205
t024,347.8856,179.9349,89.9833,89.7219,72.3607,23.5072,14.7557,0.3374735745527794
t025,350.0,172.5,82.5,90.0,65.0,19.87,14.04,0.0984367439190722
t026,350.0,175.0,85.0,90.0,65.0,20.62,14.04,0.14409063280035506
t027,350.0,177.5,87.5,90.0,65.0,21.37,14.04,0.31312640401604597
t028,350.0,180.0,90.0,90.0,65.0,22.12,14.04,0.3596658931408454
t029,350.0,172.5,82.5,90.0,65.0,20.245,14.29,0.057446516994236085
t030,350.0,175.0,85.0,90.0,65.0,21.37,14.54,0.1585539067356142
t031,350.0,177.5,87.5,90.0,65.0,22.495,14.79,0.2667904867698918
t032,350.0,180.0,90.0,90.0,65.0,23.62,15.04,0.3657342739042724
t033,350.0,172.5,82.5,90.0,65.0,19.745,13.915,0.11530412814968372
t034,350.0,175.0,85.0,90.0,65.0,20.37,13.79,0.17437437322359073
t035,350.0,177.5,87.5,90.0,65.0,20.995,13.665,0.3511431394960095
t036,350.0,180.0,90.0,90.0,65.0,21.62,13.54,0.30193134220399165
t037,349.0126,172.848,82.2249,90.767,65.9655,19.5665,14.0622,0.11411225019508753
t038,348.0253,175.6959,84.4497,91.5341,66.931,20.0131,14.0845,0.16724736359101156
t039,347.0379,178.5439,86.6746,92.3011,67.8965,20.4596,14.1067,0.321633057196675
t040,346.0505,181.3918,88.8995,93.0682,68.8619,20.9062,14.129,0.46414110495393923
t041,349.3214,172.146,83.1066,89.1981,66.0293,20.1372,14.3208,0.12135677734004979
t042,348.6427,174.292,86.2132,88.3963,67.0586,21.1544,14.6016,0.2584435681251078
t043,347.9641,176.438,89.3198,87.5944,68.0879,22.1716,14.8823,0.3146087207099728
